words|counts
perceiued|1
playd|1
deske|1
winking|1
mute|1
idle|4
round|6
mistris|3
bespeake|1
prince|3
gaue|7
locke|3
resort|1
admit|2
messengers|1
tokens|1
fruites|1
repulsed|1
short|5
sadnesse|1
thence|4
weaknesse|2
lightnesse|1
declension|1
raues|1
waile|1
likely|2
bene|4
fain|1
possitiuely|1
prou|3
otherwise|3
circumstances|1
leade|1
hid|2
indeede|3
center|1
try|5
foure|4
houres|2
lobby|2
behinde|5
arras|3
encounter|3
falne|2
thereon|1
farme|1
carters|1
reading|2
sadly|1
boord|1
presently|5
y|3
fishmonger|2
pick|1
breed|2
magots|2
dogge|2
kissing|2
carrion|1
thsunne|1
conception|1
conceiue|1
harping|1
suffred|1
extreamity|1
slanders|1
satyricall|1
slaue|5
gray|1
beards|1
faces|2
wrinkled|1
purging|2
thicke|3
amber|1
plum|1
tree|2
gumme|1
plentifull|1
hammes|1
powerfully|1
potently|1
holde|1
honestie|4
crab|1
backward|1
method|2
pregnant|2
replies|1
happinesse|1
often|2
hits|3
sanitie|1
prosperously|1
sodainely|1
except|1
tedious|2
rosincran|1
saue|5
guild|20
lads|1
indifferent|3
children|3
happy|3
fortunes|6
button|1
soales|1
shoo|1
priuates|1
parts|1
fortune|10
strumpet|2
doomesday|2
deserued|1
denmark|2
confines|1
wards|1
dungeons|1
worst|1
either|4
bad|7
ambition|5
narrow|1
bounded|1
nutshell|1
count|4
infinite|3
space|1
dreames|4
substance|1
shadow|3
truely|1
ayry|1
quality|3
shadowes|2
beggers|2
bodies|4
monarchs|1
stretcht|1
heroes|1
fey|1
wait|2
dreadfully|1
attended|1
beaten|1
friendship|2
elsonower|3
begger|3
thanks|1
halfepeny|1
inclining|1
deale|1
iustly|3
confession|3
modesties|1
craft|2
color|1
mee|10
coniure|2
rights|1
fellowship|2
consonancy|1
preserued|1
proposer|1
anticipation|1
preuent|2
discouery|1
secricie|1
moult|1
feather|1
forgone|1
exercise|3
heauenly|3
sterrill|1
promontory|1
canopy|1
braue|3
ore|7
hanging|1
roofe|1
fretted|1
golden|2
pestilent|2
congregation|1
vapours|1
piece|1
faculty|2
mouing|1
admirable|1
angel|1
apprehension|2
parragon|1
animals|1
quintessence|1
delights|3
stuffe|3
laugh|6
lenton|1
players|19
coated|1
comming|4
playes|1
tribute|2
aduenturous|1
knight|1
shal|4
foyle|1
target|1
louer|1
gratis|1
humorous|1
clowne|3
lungs|2
tickled|1
sere|1
blanke|1
verse|1
halt|1
tragedians|1
city|2
chances|1
trauaile|1
residence|1
reputation|1
inhibition|1
innouation|1
estimation|1
rusty|1
indeauour|1
wonted|2
pace|3
ayrie|1
yases|1
crye|1
tyrannically|1
clap|1
ratled|1
stages|1
wearing|1
rapiers|3
affraide|1
goose|1
quils|1
dare|3
scarse|1
thither|2
maintains|1
em|2
escorted|1
pursue|2
sing|5
afterwards|1
themselues|5
writers|1
exclaim|1
succession|2
sides|3
nation|2
tarre|1
controuersie|1
mony|1
argument|3
vnlesse|3
poet|1
player|4
cuffes|1
possible|3
throwing|1
braines|5
boyes|1
carry|3
load|1
mowes|1
liued|3
twenty|2
forty|1
ducates|1
picture|2
philosophie|1
flourish|4
welcom|1
appurtenance|1
ceremony|1
comply|1
garbe|1
lest|2
extent|1
fairely|1
aunt|1
deceiu|1
north|2
west|1
southerly|1
hawke|1
handsaw|1
hearke|1
hearer|1
swathing|1
clouts|1
childe|2
prophesie|2
mark|2
monday|1
twas|5
rossius|1
actor|3
rome|1
actors|2
buzze|2
honor|7
asse|4
comedie|2
historie|1
pastorall|3
pastoricall|1
comicall|2
historicall|3
tragicall|2
scene|1
indiuidible|1
poem|1
vnlimited|1
seneca|1
heauy|4
plautus|1
onely|5
iephta|3
iudge|3
israel|1
loued|3
lot|1
wot|1
rowe|1
pons|1
chanson|1
abridgements|1
fiue|1
masters|4
olde|2
byrlady|2
ladiship|1
altitude|1
choppine|1
voice|2
vncurrant|1
gold|1
ring|4
e|7
ne|3
french|5
faulconers|1
flie|1
straight|3
tast|1
passionate|2
1|4
acted|1
pleas|2
million|1
cauiarie|1
others|4
matters|3
digested|1
scoenes|1
modestie|4
cunning|4
sallets|1
lines|3
sauory|1
indite|1
author|2
affectation|1
cheefely|1
lou|4
aeneas|1
dido|1
thereabout|1
especially|1
speaks|1
priams|1
begin|6
line|1
rugged|2
pyrrhus|10
hyrcanian|1
begins|2
resemble|1
couched|1
ominous|1
horse|4
complexion|2
smear|1
heraldry|1
dismall|2
geulles|1
trick|1
daughters|1
impasted|1
parching|1
streets|1
tyrannous|1
murthers|1
roasted|1
wrath|1
sized|1
coagulate|1
gore|1
carbuncles|1
hellish|1
grandsire|1
priam|4
seekes|2
fore|3
spoken|2
accent|2
anon|6
findes|2
striking|1
greekes|1
rebellious|2
lyes|2
falles|3
repugnant|1
vnequall|1
match|2
driues|1
rage|3
strikes|1
whiffe|1
vnnerued|1
senselesse|2
illium|1
feele|1
blow|2
flaming|2
stoopes|1
bace|1
hideous|1
crash|1
prisoner|2
declining|1
milkie|1
reuerend|1
sticke|3
painted|2
tyrant|1
newtrall|1
storme|1
racke|1
bold|3
speechlesse|1
orbe|1
hush|1
rend|2
region|2
pause|3
rowsed|1
vengeance|2
sets|1
new|4
cyclops|1
hammers|1
fall|8
mars|2
armours|1
forg|1
proofe|6
eterne|1
remorse|1
bleeding|1
gods|6
synod|1
spokes|1
fallies|1
wheele|3
boule|1
naue|1
low|1
fiends|1
barbars|1
iigge|2
baudry|1
sleepes|4
hecuba|4
inobled|3
run|2
bare|3
foot|2
threatning|1
flame|2
bisson|1
rheume|1
clout|1
diadem|2
robe|1
lanke|1
teamed|1
loines|1
blanket|1
alarum|1
caught|3
venome|2
steep|1
treason|5
pronounc|2
sport|2
mincing|1
husbands|3
clamour|1
mortall|4
milche|1
burning|2
soone|1
wel|2
bestow|5
abstracts|1
chronicles|1
epitaph|2
desart|2
bodykins|1
euerie|1
scape|2
whipping|1
deserue|1
merit|2
bountie|1
morrow|5
dost|11
gonzago|4
need|1
study|1
dosen|1
sixteene|1
insert|1
til|1
rogue|2
pesant|2
monstrous|1
fixion|1
conceit|5
warm|1
distraction|2
aspect|1
broken|1
function|1
suiting|1
weepe|4
cue|1
drowne|5
